match_id,game,date,tournament,series,team1_id,team1_name,team2_id,team2_name,winner_id,label,n_games
1431938,cs-go,2026-04-18 10:23:56+00:00,Group Stage,Season 7 2026,133994,Oxuji Esports,138370,Lavked,133994,1,3
1448788,cs-go,2026-04-18 10:45:56+00:00,Group A,Season 5 2026,128394,AaB Esport,138581,ELITEN,128394,1,1
1448804,cs-go,2026-04-18 10:55:17+00:00,Group B,Season 5 2026,137416,TNC,138582,Dua Lipa Enjoyers,137416,1,1
1448803,cs-go,2026-04-18 11:04:28+00:00,Group B,Season 5 2026,134251,Rebels Gaming,138486,ImmuNe,134251,1,1
1449860,cs-go,2026-04-18 11:05:30+00:00,Main Stage,Season 25 2026,132795,INFURITY Gaming,137285,Hermine Esports Club,132795,1,3
1448789,cs-go,2026-04-18 11:07:57+00:00,Group A,Season 5 2026,127976,Infinite,131591,XI Esport,131591,0,1
1451839,cs-go,2026-04-18 11:57:40+00:00,Group B,Regular season 4 2026,138129,BOJONG,138578,MASQ,138129,1,3
1448805,cs-go,2026-04-18 11:59:52+00:00,Group B,Season 5 2026,133941,Sashi Academy,138405,Z7 Esports,133941,1,1
1449720,cs-go,2026-04-18 12:05:39+00:00,Playoffs,Challengers Series 1 2026,138462,Clutchain Female,138026,Atreides,138026,0,3
1448791,cs-go,2026-04-18 12:10:48+00:00,Group A,Season 5 2026,128394,AaB Esport,131591,XI Esport,128394,1,1
1448790,cs-go,2026-04-18 12:41:11+00:00,Group A,Season 5 2026,138089,zajezdzacze,137580, Phantom Academy,137580,0,1
1448806,cs-go,2026-04-18 12:48:58+00:00,Group B,Season 5 2026,134251,Rebels Gaming,138582,Dua Lipa Enjoyers,134251,1,1
1431939,cs-go,2026-04-18 12:58:58+00:00,Group Stage,Season 7 2026,137546,Acend,128519,GenOne,137546,1,3
1448792,cs-go,2026-04-18 13:28:07+00:00,Group A,Season 5 2026,138581,ELITEN,137580, Phantom Academy,137580,0,1
1448808,cs-go,2026-04-18 13:33:41+00:00,Group B,Season 5 2026,137416,TNC,133941,Sashi Academy,133941,0,1
1449721,cs-go,2026-04-18 13:37:44+00:00,Playoffs,Challengers Series 1 2026,136815,HEROIC Academy,130590,The Last Resort,130590,0,3
1448807,cs-go,2026-04-18 13:40:45+00:00,Group B,Season 5 2026,138486,ImmuNe,138405,Z7 Esports,138405,0,1
1449861,cs-go,2026-04-18 13:50:41+00:00,Main Stage,Season 25 2026,134057,HAVENs,136564,Ctrl Alt Defeat,134057,1,3
1448793,cs-go,2026-04-18 13:52:43+00:00,Group A,Season 5 2026,127976,Infinite,138089,zajezdzacze,127976,1,1
